nl_query,sql_query
Find count of records where Id is between 10 and 20 from ClaimType,SELECT COUNT(*) FROM ClaimType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from ClaimType,SELECT COUNT(*) FROM ClaimType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from DataType,SELECT * FROM DataType;
Find top 10 records from DataType,SELECT TOP 10 * FROM DataType;
Count total records in DataType,SELECT COUNT(*) FROM DataType;
Find Id from DataType where Id > 50,SELECT Id FROM DataType WHERE Id > 50;
Find unique values in Id from DataType,SELECT DISTINCT Id FROM DataType;
Find average of Id from DataType,SELECT AVG(Id) FROM DataType;
Find minimum of Id from DataType,SELECT MIN(Id) FROM DataType;
Find maximum of Id from DataType,SELECT MAX(Id) FROM DataType;
Find sum of Id from DataType,SELECT SUM(Id) FROM DataType;
Find count of Id from DataType,SELECT COUNT(Id) FROM DataType;
Find count of distinct Id from DataType,SELECT COUNT(DISTINCT Id) FROM DataType;
Find count of null values in Id from DataType,SELECT COUNT(*) - COUNT(Id) FROM DataType;
Find count of non-null values in Id from DataType,SELECT COUNT(Id) FROM DataType;
Find count of records where Id is null from DataType,SELECT COUNT(*) FROM DataType WHERE Id IS NULL;
Find count of records where Id is not null from DataType,SELECT COUNT(*) FROM DataType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from DataType,SELECT COUNT(*) FROM DataType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from DataType,SELECT COUNT(*) FROM DataType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Group,SELECT * FROM Group;
Find top 10 records from Group,SELECT TOP 10 * FROM Group;
Count total records in Group,SELECT COUNT(*) FROM Group;
Find Id from Group where Id > 50,SELECT Id FROM Group WHERE Id > 50;
Find unique values in Id from Group,SELECT DISTINCT Id FROM Group;
Find average of Id from Group,SELECT AVG(Id) FROM Group;
Find minimum of Id from Group,SELECT MIN(Id) FROM Group;
Find maximum of Id from Group,SELECT MAX(Id) FROM Group;
Find sum of Id from Group,SELECT SUM(Id) FROM Group;
Find count of Id from Group,SELECT COUNT(Id) FROM Group;
Find count of distinct Id from Group,SELECT COUNT(DISTINCT Id) FROM Group;
Find count of null values in Id from Group,SELECT COUNT(*) - COUNT(Id) FROM Group;
Find count of non-null values in Id from Group,SELECT COUNT(Id) FROM Group;
Find count of records where Id is null from Group,SELECT COUNT(*) FROM Group WHERE Id IS NULL;
Find count of records where Id is not null from Group,SELECT COUNT(*) FROM Group WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Group,SELECT COUNT(*) FROM Group WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Group,SELECT COUNT(*) FROM Group WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from GroupClaim,SELECT * FROM GroupClaim;
Find top 10 records from GroupClaim,SELECT TOP 10 * FROM GroupClaim;
Count total records in GroupClaim,SELECT COUNT(*) FROM GroupClaim;
Find Id from GroupClaim where Id > 50,SELECT Id FROM GroupClaim WHERE Id > 50;
Find unique values in Id from GroupClaim,SELECT DISTINCT Id FROM GroupClaim;
Find average of Id from GroupClaim,SELECT AVG(Id) FROM GroupClaim;
Find minimum of Id from GroupClaim,SELECT MIN(Id) FROM GroupClaim;
Find maximum of Id from GroupClaim,SELECT MAX(Id) FROM GroupClaim;
Find sum of Id from GroupClaim,SELECT SUM(Id) FROM GroupClaim;
Find count of Id from GroupClaim,SELECT COUNT(Id) FROM GroupClaim;
Find count of distinct Id from GroupClaim,SELECT COUNT(DISTINCT Id) FROM GroupClaim;
Find count of null values in Id from GroupClaim,SELECT COUNT(*) - COUNT(Id) FROM GroupClaim;
Find count of non-null values in Id from GroupClaim,SELECT COUNT(Id) FROM GroupClaim;
Find count of records where Id is null from GroupClaim,SELECT COUNT(*) FROM GroupClaim WHERE Id IS NULL;
Find count of records where Id is not null from GroupClaim,SELECT COUNT(*) FROM GroupClaim WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from GroupClaim,SELECT COUNT(*) FROM GroupClaim WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from GroupClaim,SELECT COUNT(*) FROM GroupClaim WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from ImageUpload,SELECT * FROM ImageUpload;
Find top 10 records from ImageUpload,SELECT TOP 10 * FROM ImageUpload;
Count total records in ImageUpload,SELECT COUNT(*) FROM ImageUpload;
Find Id from ImageUpload where Id > 50,SELECT Id FROM ImageUpload WHERE Id > 50;
Find unique values in Id from ImageUpload,SELECT DISTINCT Id FROM ImageUpload;
Find average of Id from ImageUpload,SELECT AVG(Id) FROM ImageUpload;
Find minimum of Id from ImageUpload,SELECT MIN(Id) FROM ImageUpload;
Find maximum of Id from ImageUpload,SELECT MAX(Id) FROM ImageUpload;
Find sum of Id from ImageUpload,SELECT SUM(Id) FROM ImageUpload;
Find count of Id from ImageUpload,SELECT COUNT(Id) FROM ImageUpload;
Find count of distinct Id from ImageUpload,SELECT COUNT(DISTINCT Id) FROM ImageUpload;
Find count of null values in Id from ImageUpload,SELECT COUNT(*) - COUNT(Id) FROM ImageUpload;
Find count of non-null values in Id from ImageUpload,SELECT COUNT(Id) FROM ImageUpload;
Find count of records where Id is null from ImageUpload,SELECT COUNT(*) FROM ImageUpload WHERE Id IS NULL;
Find count of records where Id is not null from ImageUpload,SELECT COUNT(*) FROM ImageUpload WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from ImageUpload,SELECT COUNT(*) FROM ImageUpload WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from ImageUpload,SELECT COUNT(*) FROM ImageUpload WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Layout,SELECT * FROM Layout;
Find top 10 records from Layout,SELECT TOP 10 * FROM Layout;
Count total records in Layout,SELECT COUNT(*) FROM Layout;
Find Id from Layout where Id > 50,SELECT Id FROM Layout WHERE Id > 50;
Find unique values in Id from Layout,SELECT DISTINCT Id FROM Layout;
Find average of Id from Layout,SELECT AVG(Id) FROM Layout;
Find minimum of Id from Layout,SELECT MIN(Id) FROM Layout;
Find maximum of Id from Layout,SELECT MAX(Id) FROM Layout;
Find sum of Id from Layout,SELECT SUM(Id) FROM Layout;
Find count of Id from Layout,SELECT COUNT(Id) FROM Layout;
Find count of distinct Id from Layout,SELECT COUNT(DISTINCT Id) FROM Layout;
Find count of null values in Id from Layout,SELECT COUNT(*) - COUNT(Id) FROM Layout;
Find count of non-null values in Id from Layout,SELECT COUNT(Id) FROM Layout;
Find count of records where Id is null from Layout,SELECT COUNT(*) FROM Layout WHERE Id IS NULL;
Find count of records where Id is not null from Layout,SELECT COUNT(*) FROM Layout WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Layout,SELECT COUNT(*) FROM Layout WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Layout,SELECT COUNT(*) FROM Layout WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from LoginLog,SELECT * FROM LoginLog;
Find top 10 records from LoginLog,SELECT TOP 10 * FROM LoginLog;
Count total records in LoginLog,SELECT COUNT(*) FROM LoginLog;
Find Id from LoginLog where Id > 50,SELECT Id FROM LoginLog WHERE Id > 50;
Find unique values in Id from LoginLog,SELECT DISTINCT Id FROM LoginLog;
Find average of Id from LoginLog,SELECT AVG(Id) FROM LoginLog;
Find minimum of Id from LoginLog,SELECT MIN(Id) FROM LoginLog;
Find maximum of Id from LoginLog,SELECT MAX(Id) FROM LoginLog;
Find sum of Id from LoginLog,SELECT SUM(Id) FROM LoginLog;
Find count of Id from LoginLog,SELECT COUNT(Id) FROM LoginLog;
Find count of distinct Id from LoginLog,SELECT COUNT(DISTINCT Id) FROM LoginLog;
Find count of null values in Id from LoginLog,SELECT COUNT(*) - COUNT(Id) FROM LoginLog;
Find count of non-null values in Id from LoginLog,SELECT COUNT(Id) FROM LoginLog;
Find count of records where Id is null from LoginLog,SELECT COUNT(*) FROM LoginLog WHERE Id IS NULL;
Find count of records where Id is not null from LoginLog,SELECT COUNT(*) FROM LoginLog WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from LoginLog,SELECT COUNT(*) FROM LoginLog WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from LoginLog,SELECT COUNT(*) FROM LoginLog WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from LoginToken,SELECT * FROM LoginToken;
Find top 10 records from LoginToken,SELECT TOP 10 * FROM LoginToken;
Count total records in LoginToken,SELECT COUNT(*) FROM LoginToken;
Find Id from LoginToken where Id > 50,SELECT Id FROM LoginToken WHERE Id > 50;
Find unique values in Id from LoginToken,SELECT DISTINCT Id FROM LoginToken;
Find average of Id from LoginToken,SELECT AVG(Id) FROM LoginToken;
Find minimum of Id from LoginToken,SELECT MIN(Id) FROM LoginToken;
Find maximum of Id from LoginToken,SELECT MAX(Id) FROM LoginToken;
Find sum of Id from LoginToken,SELECT SUM(Id) FROM LoginToken;
Find count of Id from LoginToken,SELECT COUNT(Id) FROM LoginToken;
Find count of distinct Id from LoginToken,SELECT COUNT(DISTINCT Id) FROM LoginToken;
Find count of null values in Id from LoginToken,SELECT COUNT(*) - COUNT(Id) FROM LoginToken;
Find count of non-null values in Id from LoginToken,SELECT COUNT(Id) FROM LoginToken;
Find count of records where Id is null from LoginToken,SELECT COUNT(*) FROM LoginToken WHERE Id IS NULL;
Find count of records where Id is not null from LoginToken,SELECT COUNT(*) FROM LoginToken WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from LoginToken,SELECT COUNT(*) FROM LoginToken WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from LoginToken,SELECT COUNT(*) FROM LoginToken WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from LoginTokenLog,SELECT * FROM LoginTokenLog;
Find top 10 records from LoginTokenLog,SELECT TOP 10 * FROM LoginTokenLog;
Count total records in LoginTokenLog,SELECT COUNT(*) FROM LoginTokenLog;
Find Id from LoginTokenLog where Id > 50,SELECT Id FROM LoginTokenLog WHERE Id > 50;
Find unique values in Id from LoginTokenLog,SELECT DISTINCT Id FROM LoginTokenLog;
Find average of Id from LoginTokenLog,SELECT AVG(Id) FROM LoginTokenLog;
Find minimum of Id from LoginTokenLog,SELECT MIN(Id) FROM LoginTokenLog;
Find maximum of Id from LoginTokenLog,SELECT MAX(Id) FROM LoginTokenLog;
Find sum of Id from LoginTokenLog,SELECT SUM(Id) FROM LoginTokenLog;
Find count of Id from LoginTokenLog,SELECT COUNT(Id) FROM LoginTokenLog;
Find count of distinct Id from LoginTokenLog,SELECT COUNT(DISTINCT Id) FROM LoginTokenLog;
Find count of null values in Id from LoginTokenLog,SELECT COUNT(*) - COUNT(Id) FROM LoginTokenLog;
Find count of non-null values in Id from LoginTokenLog,SELECT COUNT(Id) FROM LoginTokenLog;
Find count of records where Id is null from LoginTokenLog,SELECT COUNT(*) FROM LoginTokenLog WHERE Id IS NULL;
Find count of records where Id is not null from LoginTokenLog,SELECT COUNT(*) FROM LoginTokenLog WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from LoginTokenLog,SELECT COUNT(*) FROM LoginTokenLog WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from LoginTokenLog,SELECT COUNT(*) FROM LoginTokenLog WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Logs,SELECT * FROM Logs;
Find top 10 records from Logs,SELECT TOP 10 * FROM Logs;
Count total records in Logs,SELECT COUNT(*) FROM Logs;
Find ID from Logs where ID > 50,SELECT ID FROM Logs WHERE ID > 50;
Find unique values in ID from Logs,SELECT DISTINCT ID FROM Logs;
Find average of ID from Logs,SELECT AVG(ID) FROM Logs;
Find minimum of ID from Logs,SELECT MIN(ID) FROM Logs;
Find maximum of ID from Logs,SELECT MAX(ID) FROM Logs;
Find sum of ID from Logs,SELECT SUM(ID) FROM Logs;
Find count of ID from Logs,SELECT COUNT(ID) FROM Logs;
Find count of distinct ID from Logs,SELECT COUNT(DISTINCT ID) FROM Logs;
Find count of null values in ID from Logs,SELECT COUNT(*) - COUNT(ID) FROM Logs;
Find count of non-null values in ID from Logs,SELECT COUNT(ID) FROM Logs;
Find count of records where ID is null from Logs,SELECT COUNT(*) FROM Logs WHERE ID IS NULL;
Find count of records where ID is not null from Logs,SELECT COUNT(*) FROM Logs WHERE ID IS NOT NULL;
Find count of records where ID is between 10 and 20 from Logs,SELECT COUNT(*) FROM Logs WHERE ID BETWEEN 10 AND 20;
Find count of records where ID is not between 10 and 20 from Logs,SELECT COUNT(*) FROM Logs WHERE ID NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Lookup,SELECT * FROM Lookup;
Find top 10 records from Lookup,SELECT TOP 10 * FROM Lookup;
Count total records in Lookup,SELECT COUNT(*) FROM Lookup;
Find Id from Lookup where Id > 50,SELECT Id FROM Lookup WHERE Id > 50;
Find unique values in Id from Lookup,SELECT DISTINCT Id FROM Lookup;
Find average of Id from Lookup,SELECT AVG(Id) FROM Lookup;
Find minimum of Id from Lookup,SELECT MIN(Id) FROM Lookup;
Find maximum of Id from Lookup,SELECT MAX(Id) FROM Lookup;
Find sum of Id from Lookup,SELECT SUM(Id) FROM Lookup;
Find count of Id from Lookup,SELECT COUNT(Id) FROM Lookup;
Find count of distinct Id from Lookup,SELECT COUNT(DISTINCT Id) FROM Lookup;
Find count of null values in Id from Lookup,SELECT COUNT(*) - COUNT(Id) FROM Lookup;
Find count of non-null values in Id from Lookup,SELECT COUNT(Id) FROM Lookup;
Find count of records where Id is null from Lookup,SELECT COUNT(*) FROM Lookup WHERE Id IS NULL;
Find count of records where Id is not null from Lookup,SELECT COUNT(*) FROM Lookup WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Lookup,SELECT COUNT(*) FROM Lookup WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Lookup,SELECT COUNT(*) FROM Lookup WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from LookupCategory,SELECT * FROM LookupCategory;
Find top 10 records from LookupCategory,SELECT TOP 10 * FROM LookupCategory;
Count total records in LookupCategory,SELECT COUNT(*) FROM LookupCategory;
Find Id from LookupCategory where Id > 50,SELECT Id FROM LookupCategory WHERE Id > 50;
Find unique values in Id from LookupCategory,SELECT DISTINCT Id FROM LookupCategory;
Find average of Id from LookupCategory,SELECT AVG(Id) FROM LookupCategory;
Find minimum of Id from LookupCategory,SELECT MIN(Id) FROM LookupCategory;
Find maximum of Id from LookupCategory,SELECT MAX(Id) FROM LookupCategory;
Find sum of Id from LookupCategory,SELECT SUM(Id) FROM LookupCategory;
Find count of Id from LookupCategory,SELECT COUNT(Id) FROM LookupCategory;
Find count of distinct Id from LookupCategory,SELECT COUNT(DISTINCT Id) FROM LookupCategory;
Find count of null values in Id from LookupCategory,SELECT COUNT(*) - COUNT(Id) FROM LookupCategory;
Find count of non-null values in Id from LookupCategory,SELECT COUNT(Id) FROM LookupCategory;
Find count of records where Id is null from LookupCategory,SELECT COUNT(*) FROM LookupCategory WHERE Id IS NULL;
Find count of records where Id is not null from LookupCategory,SELECT COUNT(*) FROM LookupCategory WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from LookupCategory,SELECT COUNT(*) FROM LookupCategory WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from LookupCategory,SELECT COUNT(*) FROM LookupCategory WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Module,SELECT * FROM Module;
Find top 10 records from Module,SELECT TOP 10 * FROM Module;
Count total records in Module,SELECT COUNT(*) FROM Module;
Find Id from Module where Id > 50,SELECT Id FROM Module WHERE Id > 50;
Find unique values in Id from Module,SELECT DISTINCT Id FROM Module;
Find average of Id from Module,SELECT AVG(Id) FROM Module;
Find minimum of Id from Module,SELECT MIN(Id) FROM Module;
Find maximum of Id from Module,SELECT MAX(Id) FROM Module;
Find sum of Id from Module,SELECT SUM(Id) FROM Module;
Find count of Id from Module,SELECT COUNT(Id) FROM Module;
Find count of distinct Id from Module,SELECT COUNT(DISTINCT Id) FROM Module;
Find count of null values in Id from Module,SELECT COUNT(*) - COUNT(Id) FROM Module;
Find count of non-null values in Id from Module,SELECT COUNT(Id) FROM Module;
Find count of records where Id is null from Module,SELECT COUNT(*) FROM Module WHERE Id IS NULL;
Find count of records where Id is not null from Module,SELECT COUNT(*) FROM Module WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Module,SELECT COUNT(*) FROM Module WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Module,SELECT COUNT(*) FROM Module WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from ModuleLayout,SELECT * FROM ModuleLayout;
Find top 10 records from ModuleLayout,SELECT TOP 10 * FROM ModuleLayout;
Count total records in ModuleLayout,SELECT COUNT(*) FROM ModuleLayout;
Find Id from ModuleLayout where Id > 50,SELECT Id FROM ModuleLayout WHERE Id > 50;
Find unique values in Id from ModuleLayout,SELECT DISTINCT Id FROM ModuleLayout;
Find average of Id from ModuleLayout,SELECT AVG(Id) FROM ModuleLayout;
Find minimum of Id from ModuleLayout,SELECT MIN(Id) FROM ModuleLayout;
Find maximum of Id from ModuleLayout,SELECT MAX(Id) FROM ModuleLayout;
Find sum of Id from ModuleLayout,SELECT SUM(Id) FROM ModuleLayout;
Find count of Id from ModuleLayout,SELECT COUNT(Id) FROM ModuleLayout;
Find count of distinct Id from ModuleLayout,SELECT COUNT(DISTINCT Id) FROM ModuleLayout;
Find count of null values in Id from ModuleLayout,SELECT COUNT(*) - COUNT(Id) FROM ModuleLayout;
Find count of non-null values in Id from ModuleLayout,SELECT COUNT(Id) FROM ModuleLayout;
Find count of records where Id is null from ModuleLayout,SELECT COUNT(*) FROM ModuleLayout WHERE Id IS NULL;
Find count of records where Id is not null from ModuleLayout,SELECT COUNT(*) FROM ModuleLayout WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from ModuleLayout,SELECT COUNT(*) FROM ModuleLayout WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from ModuleLayout,SELECT COUNT(*) FROM ModuleLayout WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Organization,SELECT * FROM Organization;
Find top 10 records from Organization,SELECT TOP 10 * FROM Organization;
Count total records in Organization,SELECT COUNT(*) FROM Organization;
Find Id from Organization where Id > 50,SELECT Id FROM Organization WHERE Id > 50;
Find unique values in Id from Organization,SELECT DISTINCT Id FROM Organization;
Find average of Id from Organization,SELECT AVG(Id) FROM Organization;
Find minimum of Id from Organization,SELECT MIN(Id) FROM Organization;
Find maximum of Id from Organization,SELECT MAX(Id) FROM Organization;
Find sum of Id from Organization,SELECT SUM(Id) FROM Organization;
Find count of Id from Organization,SELECT COUNT(Id) FROM Organization;
Find count of distinct Id from Organization,SELECT COUNT(DISTINCT Id) FROM Organization;
Find count of null values in Id from Organization,SELECT COUNT(*) - COUNT(Id) FROM Organization;
Find count of non-null values in Id from Organization,SELECT COUNT(Id) FROM Organization;
Find count of records where Id is null from Organization,SELECT COUNT(*) FROM Organization WHERE Id IS NULL;
Find count of records where Id is not null from Organization,SELECT COUNT(*) FROM Organization WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Organization,SELECT COUNT(*) FROM Organization WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Organization,SELECT COUNT(*) FROM Organization WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from PasswordLogin,SELECT * FROM PasswordLogin;
Find top 10 records from PasswordLogin,SELECT TOP 10 * FROM PasswordLogin;
Count total records in PasswordLogin,SELECT COUNT(*) FROM PasswordLogin;
Find Id from PasswordLogin where Id > 50,SELECT Id FROM PasswordLogin WHERE Id > 50;
Find unique values in Id from PasswordLogin,SELECT DISTINCT Id FROM PasswordLogin;
Find average of Id from PasswordLogin,SELECT AVG(Id) FROM PasswordLogin;
Find minimum of Id from PasswordLogin,SELECT MIN(Id) FROM PasswordLogin;
Find maximum of Id from PasswordLogin,SELECT MAX(Id) FROM PasswordLogin;
Find sum of Id from PasswordLogin,SELECT SUM(Id) FROM PasswordLogin;
Find count of Id from PasswordLogin,SELECT COUNT(Id) FROM PasswordLogin;
Find count of distinct Id from PasswordLogin,SELECT COUNT(DISTINCT Id) FROM PasswordLogin;
Find count of null values in Id from PasswordLogin,SELECT COUNT(*) - COUNT(Id) FROM PasswordLogin;
Find count of non-null values in Id from PasswordLogin,SELECT COUNT(Id) FROM PasswordLogin;
Find count of records where Id is null from PasswordLogin,SELECT COUNT(*) FROM PasswordLogin WHERE Id IS NULL;
Find count of records where Id is not null from PasswordLogin,SELECT COUNT(*) FROM PasswordLogin WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from PasswordLogin,SELECT COUNT(*) FROM PasswordLogin WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from PasswordLogin,SELECT COUNT(*) FROM PasswordLogin WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from PasswordPolicy,SELECT * FROM PasswordPolicy;
Find top 10 records from PasswordPolicy,SELECT TOP 10 * FROM PasswordPolicy;
Count total records in PasswordPolicy,SELECT COUNT(*) FROM PasswordPolicy;
Find Id from PasswordPolicy where Id > 50,SELECT Id FROM PasswordPolicy WHERE Id > 50;
Find unique values in Id from PasswordPolicy,SELECT DISTINCT Id FROM PasswordPolicy;
Find average of Id from PasswordPolicy,SELECT AVG(Id) FROM PasswordPolicy;
Find minimum of Id from PasswordPolicy,SELECT MIN(Id) FROM PasswordPolicy;
Find maximum of Id from PasswordPolicy,SELECT MAX(Id) FROM PasswordPolicy;
Find sum of Id from PasswordPolicy,SELECT SUM(Id) FROM PasswordPolicy;
Find count of Id from PasswordPolicy,SELECT COUNT(Id) FROM PasswordPolicy;
Find count of distinct Id from PasswordPolicy,SELECT COUNT(DISTINCT Id) FROM PasswordPolicy;
Find count of null values in Id from PasswordPolicy,SELECT COUNT(*) - COUNT(Id) FROM PasswordPolicy;
Find count of non-null values in Id from PasswordPolicy,SELECT COUNT(Id) FROM PasswordPolicy;
Find count of records where Id is null from PasswordPolicy,SELECT COUNT(*) FROM PasswordPolicy WHERE Id IS NULL;
Find count of records where Id is not null from PasswordPolicy,SELECT COUNT(*) FROM PasswordPolicy WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from PasswordPolicy,SELECT COUNT(*) FROM PasswordPolicy WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from PasswordPolicy,SELECT COUNT(*) FROM PasswordPolicy WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Permission,SELECT * FROM Permission;
Find top 10 records from Permission,SELECT TOP 10 * FROM Permission;
Count total records in Permission,SELECT COUNT(*) FROM Permission;
Find Id from Permission where Id > 50,SELECT Id FROM Permission WHERE Id > 50;
Find unique values in Id from Permission,SELECT DISTINCT Id FROM Permission;
Find average of Id from Permission,SELECT AVG(Id) FROM Permission;
Find minimum of Id from Permission,SELECT MIN(Id) FROM Permission;
Find maximum of Id from Permission,SELECT MAX(Id) FROM Permission;
Find sum of Id from Permission,SELECT SUM(Id) FROM Permission;
Find count of Id from Permission,SELECT COUNT(Id) FROM Permission;
Find count of distinct Id from Permission,SELECT COUNT(DISTINCT Id) FROM Permission;
Find count of null values in Id from Permission,SELECT COUNT(*) - COUNT(Id) FROM Permission;
Find count of non-null values in Id from Permission,SELECT COUNT(Id) FROM Permission;
Find count of records where Id is null from Permission,SELECT COUNT(*) FROM Permission WHERE Id IS NULL;
Find count of records where Id is not null from Permission,SELECT COUNT(*) FROM Permission WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Permission,SELECT COUNT(*) FROM Permission WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Permission,SELECT COUNT(*) FROM Permission WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from PermissionModuleType,SELECT * FROM PermissionModuleType;
Find top 10 records from PermissionModuleType,SELECT TOP 10 * FROM PermissionModuleType;
Count total records in PermissionModuleType,SELECT COUNT(*) FROM PermissionModuleType;
Find Id from PermissionModuleType where Id > 50,SELECT Id FROM PermissionModuleType WHERE Id > 50;
Find unique values in Id from PermissionModuleType,SELECT DISTINCT Id FROM PermissionModuleType;
Find average of Id from PermissionModuleType,SELECT AVG(Id) FROM PermissionModuleType;
Find minimum of Id from PermissionModuleType,SELECT MIN(Id) FROM PermissionModuleType;
Find maximum of Id from PermissionModuleType,SELECT MAX(Id) FROM PermissionModuleType;
Find sum of Id from PermissionModuleType,SELECT SUM(Id) FROM PermissionModuleType;
Find count of Id from PermissionModuleType,SELECT COUNT(Id) FROM PermissionModuleType;
Find count of distinct Id from PermissionModuleType,SELECT COUNT(DISTINCT Id) FROM PermissionModuleType;
Find count of null values in Id from PermissionModuleType,SELECT COUNT(*) - COUNT(Id) FROM PermissionModuleType;
Find count of non-null values in Id from PermissionModuleType,SELECT COUNT(Id) FROM PermissionModuleType;
Find count of records where Id is null from PermissionModuleType,SELECT COUNT(*) FROM PermissionModuleType WHERE Id IS NULL;
Find count of records where Id is not null from PermissionModuleType,SELECT COUNT(*) FROM PermissionModuleType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from PermissionModuleType,SELECT COUNT(*) FROM PermissionModuleType WHERE Id BETWEEN 10 AND 20;
