Natural Language Query,SQL Query
Get maximum LastName from User,SELECT MAX(LastName) FROM User;
Get minimum LastName from User,SELECT MIN(LastName) FROM User;
Calculate average LastName in User,SELECT AVG(LastName) FROM User;
Get all records from User,SELECT * FROM User;
"Show all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
"List all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User where Email is 35","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Email = '39';"
"Find Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User with Email greater than 87","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Email > 10;"
"Get Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User where Email is in (6, 86)","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Email IN ('36', '86');"
Find all records in User where Email is between 29 and 54,SELECT * FROM User WHERE Email BETWEEN '20' AND '87';
Join User and SubPermissionModuleType on Email = OrgId,SELECT * FROM User JOIN UiPageValidationType ON User.Email = UiPageValidationType.ISDCode;
Count number of records in User,SELECT COUNT(*) FROM User;
"Find distinct Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT DISTINCT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
Get maximum Email from User,SELECT MAX(Email) FROM User;
Get minimum Email from User,SELECT MIN(Email) FROM User;
Calculate average Email in User,SELECT AVG(Email) FROM User;
Get all records from User,SELECT * FROM User;
"Show all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
"List all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User where Mobile is 52","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Mobile = '57';"
"Find Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User with Mobile greater than 13","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Mobile > 46;"
"Get Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User where Mobile is in (10, 61)","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Mobile IN ('6', '75');"
Find all records in User where Mobile is between 45 and 94,SELECT * FROM User WHERE Mobile BETWEEN '32' AND '76';
Join User and UiPageMetadata on Mobile = IsDeleted,SELECT * FROM User JOIN WorkflowActivity ON User.Mobile = WorkflowActivity.Country;
Count number of records in User,SELECT COUNT(*) FROM User;
"Find distinct Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT DISTINCT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
Get maximum Mobile from User,SELECT MAX(Mobile) FROM User;
Get minimum Mobile from User,SELECT MIN(Mobile) FROM User;
Calculate average Mobile in User,SELECT AVG(Mobile) FROM User;
Get all records from User,SELECT * FROM User;
"Show all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
"List all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User where Country is 88","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Country = '14';"
"Find Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User with Country greater than 6","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Country > 47;"
"Get Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User where Country is in (25, 61)","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Country IN ('43', '83');"
Find all records in User where Country is between 16 and 83,SELECT * FROM User WHERE Country BETWEEN '6' AND '79';
Join User and LoginLog on Country = EmailValidationStatus,SELECT * FROM User JOIN Module ON User.Country = Module.LastName;
Count number of records in User,SELECT COUNT(*) FROM User;
"Find distinct Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT DISTINCT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
Get maximum Country from User,SELECT MAX(Country) FROM User;
Get minimum Country from User,SELECT MIN(Country) FROM User;
Calculate average Country in User,SELECT AVG(Country) FROM User;
Get all records from User,SELECT * FROM User;
"Show all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
"List all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User where ISDCode is 43","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE ISDCode = '97';"
"Find Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User with ISDCode greater than 11","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE ISDCode > 65;"
"Get Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User where ISDCode is in (24, 70)","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE ISDCode IN ('43', '79');"
Find all records in User where ISDCode is between 3 and 51,SELECT * FROM User WHERE ISDCode BETWEEN '10' AND '76';
Join User and UiPageIntType on ISDCode = Locked,SELECT * FROM User JOIN UiPageMetadataModuleBridge ON User.ISDCode = UiPageMetadataModuleBridge.MobileValidationStatus;
Count number of records in User,SELECT COUNT(*) FROM User;
"Find distinct Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT DISTINCT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
Get maximum ISDCode from User,SELECT MAX(ISDCode) FROM User;
Get minimum ISDCode from User,SELECT MIN(ISDCode) FROM User;
Calculate average ISDCode in User,SELECT AVG(ISDCode) FROM User;
Get all records from User,SELECT * FROM User;
"Show all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
"List all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User where TwoFactor is 47","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE TwoFactor = '37';"
"Find Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User with TwoFactor greater than 45","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE TwoFactor > 82;"
"Get Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User where TwoFactor is in (31, 53)","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE TwoFactor IN ('23', '54');"
Find all records in User where TwoFactor is between 31 and 68,SELECT * FROM User WHERE TwoFactor BETWEEN '20' AND '72';
Join User and Layout on TwoFactor = Id,SELECT * FROM User JOIN WorkflowStage ON User.TwoFactor = WorkflowStage.Locked;
Count number of records in User,SELECT COUNT(*) FROM User;
"Find distinct Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT DISTINCT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
Get maximum TwoFactor from User,SELECT MAX(TwoFactor) FROM User;
Get minimum TwoFactor from User,SELECT MIN(TwoFactor) FROM User;
Calculate average TwoFactor in User,SELECT AVG(TwoFactor) FROM User;
Get all records from User,SELECT * FROM User;
"Show all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
"List all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User where Locked is 88","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Locked = '49';"
"Find Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User with Locked greater than 50","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Locked > 29;"
"Get Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User where Locked is in (44, 64)","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE Locked IN ('23', '81');"
Find all records in User where Locked is between 47 and 95,SELECT * FROM User WHERE Locked BETWEEN '7' AND '72';
Join User and UiPageData on Locked = LastName,SELECT * FROM User JOIN Activity ON User.Locked = Activity.Email;
Count number of records in User,SELECT COUNT(*) FROM User;
"Find distinct Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT DISTINCT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
Get maximum Locked from User,SELECT MAX(Locked) FROM User;
Get minimum Locked from User,SELECT MIN(Locked) FROM User;
Calculate average Locked in User,SELECT AVG(Locked) FROM User;
Get all records from User,SELECT * FROM User;
"Show all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
"List all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User where IsActive is 58","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE IsActive = '26';"
"Find Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User with IsActive greater than 71","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE IsActive > 22;"
"Get Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User where IsActive is in (18, 65)","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE IsActive IN ('9', '92');"
Find all records in User where IsActive is between 25 and 100,SELECT * FROM User WHERE IsActive BETWEEN '35' AND '63';
Join User and Organization on IsActive = MobileValidationStatus,SELECT * FROM User JOIN SubPermissionModuleType ON User.IsActive = SubPermissionModuleType.AdminLevel;
Count number of records in User,SELECT COUNT(*) FROM User;
"Find distinct Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT DISTINCT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
Get maximum IsActive from User,SELECT MAX(IsActive) FROM User;
Get minimum IsActive from User,SELECT MIN(IsActive) FROM User;
Calculate average IsActive in User,SELECT AVG(IsActive) FROM User;
Get all records from User,SELECT * FROM User;
"Show all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
"List all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User where EmailValidationStatus is 35","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE EmailValidationStatus = '18';"
"Find Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User with EmailValidationStatus greater than 55","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE EmailValidationStatus > 13;"
"Get Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User where EmailValidationStatus is in (5, 59)","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE EmailValidationStatus IN ('38', '72');"
Find all records in User where EmailValidationStatus is between 37 and 73,SELECT * FROM User WHERE EmailValidationStatus BETWEEN '10' AND '52';
Join User and ModuleLayout on EmailValidationStatus = UserName,SELECT * FROM User JOIN ActivityMetadata ON User.EmailValidationStatus = ActivityMetadata.UserName;
Count number of records in User,SELECT COUNT(*) FROM User;
"Find distinct Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT DISTINCT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
Get maximum EmailValidationStatus from User,SELECT MAX(EmailValidationStatus) FROM User;
Get minimum EmailValidationStatus from User,SELECT MIN(EmailValidationStatus) FROM User;
Calculate average EmailValidationStatus in User,SELECT AVG(EmailValidationStatus) FROM User;
Get all records from User,SELECT * FROM User;
"Show all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
"List all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User where MobileValidationStatus is 11","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE MobileValidationStatus = '17';"
"Find Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User with MobileValidationStatus greater than 20","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE MobileValidationStatus > 78;"
"Get Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User where MobileValidationStatus is in (31, 61)","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE MobileValidationStatus IN ('27', '52');"
Find all records in User where MobileValidationStatus is between 4 and 61,SELECT * FROM User WHERE MobileValidationStatus BETWEEN '24' AND '63';
Join User and UiPageNavigation on MobileValidationStatus = Locked,SELECT * FROM User JOIN Organization ON User.MobileValidationStatus = Organization.IsActive;
Count number of records in User,SELECT COUNT(*) FROM User;
"Find distinct Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT DISTINCT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
Get maximum MobileValidationStatus from User,SELECT MAX(MobileValidationStatus) FROM User;
Get minimum MobileValidationStatus from User,SELECT MIN(MobileValidationStatus) FROM User;
Calculate average MobileValidationStatus in User,SELECT AVG(MobileValidationStatus) FROM User;
Get all records from User,SELECT * FROM User;
"Show all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
"List all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User where OrgId is 57","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE OrgId = '93';"
"Find Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User with OrgId greater than 6","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE OrgId > 80;"
"Get Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User where OrgId is in (26, 52)","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE OrgId IN ('29', '65');"
Find all records in User where OrgId is between 38 and 98,SELECT * FROM User WHERE OrgId BETWEEN '8' AND '82';
Join User and UiPageIntType on OrgId = Id,SELECT * FROM User JOIN DataType ON User.OrgId = DataType.Email;
Count number of records in User,SELECT COUNT(*) FROM User;
"Find distinct Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT DISTINCT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
Get maximum OrgId from User,SELECT MAX(OrgId) FROM User;
Get minimum OrgId from User,SELECT MIN(OrgId) FROM User;
Calculate average OrgId in User,SELECT AVG(OrgId) FROM User;
Get all records from User,SELECT * FROM User;
"Show all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User;"
"List all Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User where AdminLevel is 45","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE AdminLevel = '36';"
"Find Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted in User with AdminLevel greater than 43","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE AdminLevel > 37;"
"Get Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted from User where AdminLevel is in (9, 91)","SELECT Id, UserName, FirstName, LastName, Email, Mobile, Country, ISDCode, TwoFactor, Locked, IsActive, EmailValidationStatus, MobileValidationStatus, OrgId, AdminLevel, IsDeleted FROM User WHERE AdminLevel IN ('45', '78');"
